"date","geography","geography code","Rural Urban","Sex: All persons; Economic Activity: All usual residents aged 16 to 74; measures: Value","Sex: All persons; Economic Activity: Economically active; measures: Value","Sex: All persons; Economic Activity: Economically active: In employment; measures: Value","Sex: All persons; Economic Activity: Economically active: Employee: Part-time; measures: Value","Sex: All persons; Economic Activity: Economically active: Employee: Full-time; measures: Value","Sex: All persons; Economic Activity: Economically active: Self-employed; measures: Value","Sex: All persons; Economic Activity: Economically active: Unemployed; measures: Value","Sex: All persons; Economic Activity: Economically active: Full-time student; measures: Value","Sex: All persons; Economic Activity: Economically Inactive; measures: Value","Sex: All persons; Economic Activity: Economically inactive: Retired; measures: Value","Sex: All persons; Economic Activity: Economically inactive: Student (including full-time students); measures: Value","Sex: All persons; Economic Activity: Economically inactive: Looking after home or family; measures: Value","Sex: All persons; Economic Activity: Economically inactive: Long-term sick or disabled; measures: Value","Sex: All persons; Economic Activity: Economically inactive: Other; measures: Value","Sex: All persons; Economic Activity: Unemployed: Age 16 to 24; measures: Value","Sex: All persons; Economic Activity: Unemployed: Age 50 to 74; measures: Value","Sex: All persons; Economic Activity: Unemployed: Never worked; measures: Value","Sex: All persons; Economic Activity: Long-term unemployed; measures: Value","Sex: Males; Economic Activity: All usual residents aged 16 to 74; measures: Value","Sex: Males; Economic Activity: Economically active; measures: Value","Sex: Males; Economic Activity: Economically active: In employment; measures: Value","Sex: Males; Economic Activity: Economically active: Employee: Part-time; measures: Value","Sex: Males; Economic Activity: Economically active: Employee: Full-time; measures: Value","Sex: Males; Economic Activity: Economically active: Self-employed; measures: Value","Sex: Males; Economic Activity: Economically active: Unemployed; measures: Value","Sex: Males; Economic Activity: Economically active: Full-time student; measures: Value","Sex: Males; Economic Activity: Economically Inactive; measures: Value","Sex: Males; Economic Activity: Economically inactive: Retired; measures: Value","Sex: Males; Economic Activity: Economically inactive: Student (including full-time students); measures: Value","Sex: Males; Economic Activity: Economically inactive: Looking after home or family; measures: Value","Sex: Males; Economic Activity: Economically inactive: Long-term sick or disabled; measures: Value","Sex: Males; Economic Activity: Economically inactive: Other; measures: Value","Sex: Males; Economic Activity: Unemployed: Age 16 to 24; measures: Value","Sex: Males; Economic Activity: Unemployed: Age 50 to 74; measures: Value","Sex: Males; Economic Activity: Unemployed: Never worked; measures: Value","Sex: Males; Economic Activity: Long-term unemployed; measures: Value","Sex: Females; Economic Activity: All usual residents aged 16 to 74; measures: Value","Sex: Females; Economic Activity: Economically active; measures: Value","Sex: Females; Economic Activity: Economically active: In employment; measures: Value","Sex: Females; Economic Activity: Economically active: Employee: Part-time; measures: Value","Sex: Females; Economic Activity: Economically active: Employee: Full-time; measures: Value","Sex: Females; Economic Activity: Economically active: Self-employed; measures: Value","Sex: Females; Economic Activity: Economically active: Unemployed; measures: Value","Sex: Females; Economic Activity: Economically active: Full-time student; measures: Value","Sex: Females; Economic Activity: Economically Inactive; measures: Value","Sex: Females; Economic Activity: Economically inactive: Retired; measures: Value","Sex: Females; Economic Activity: Economically inactive: Student (including full-time students); measures: Value","Sex: Females; Economic Activity: Economically inactive: Looking after home or family; measures: Value","Sex: Females; Economic Activity: Economically inactive: Long-term sick or disabled; measures: Value","Sex: Females; Economic Activity: Economically inactive: Other; measures: Value","Sex: Females; Economic Activity: Unemployed: Age 16 to 24; measures: Value","Sex: Females; Economic Activity: Unemployed: Age 50 to 74; measures: Value","Sex: Females; Economic Activity: Unemployed: Never worked; measures: Value","Sex: Females; Economic Activity: Long-term unemployed; measures: Value"
"2011","Barnsley","E08000016","Total",170405,113306,100751,24807,62841,13103,8738,3817,57099,28008,6225,7435,11925,3506,2942,1349,1639,3577,84670,60174,53208,4545,38854,9809,5357,1609,24496,12382,3138,914,6551,1511,1841,903,974,2054,85735,53132,47543,20262,23987,3294,3381,2208,32603,15626,3087,6521,5374,1995,1101,446,665,1523
"2011","Doncaster","E08000017","Total",220877,147770,130306,33112,80998,16196,12697,4767,73107,34110,8765,10746,12958,6528,4134,2000,2138,4936,110475,79454,69533,6928,50870,11735,7900,2021,31021,14789,4271,1280,6884,3797,2592,1334,1266,2903,110402,68316,60773,26184,30128,4461,4797,2746,42086,19321,4494,9466,6074,2731,1542,666,872,2033
"2011","Rotherham","E08000018","Total",187959,125899,111684,28830,68860,13994,9821,4394,62060,31117,7405,8864,10614,4060,3170,1693,1873,3917,93219,67294,59344,5557,43152,10635,6039,1911,25925,13751,3630,1080,5764,1700,1971,1184,1066,2345,94740,58605,52340,23273,25708,3359,3782,2483,36135,17366,3775,7784,4850,2360,1199,509,807,1572
"2011","Sheffield","E08000019","Total",411004,270239,227822,56868,140933,30021,19626,22791,140765,52941,44212,16682,18418,8512,5909,3157,4013,7641,204595,143190,120104,13126,84666,22312,12547,10539,61405,23139,22790,1881,9864,3731,3719,2300,2365,4741,206409,127049,107718,43742,56267,7709,7079,12252,79360,29802,21422,14801,8554,4781,2190,857,1648,2900
"2011","Bradford","E08000032","Total",366217,243727,210013,52795,125745,31473,21224,12490,122490,43961,23311,24487,18176,12555,6193,3188,5053,8391,181622,135004,115551,15717,76162,23672,13259,6194,46618,18518,11958,2089,9254,4799,3839,2240,2792,5179,184595,108723,94462,37078,49583,7801,7965,6296,75872,25443,11353,22398,8922,7756,2354,948,2261,3212
"2011","Calderdale","E08000033","Total",148766,104893,93611,21923,57617,14071,7394,3888,43873,22405,6156,5844,6510,2958,2149,1418,1106,3009,73807,55794,49451,4778,34598,10075,4668,1675,18013,9531,3061,626,3545,1250,1384,991,652,1842,74959,49099,44160,17145,23019,3996,2726,2213,25860,12874,3095,5218,2965,1708,765,427,454,1167
"2011","Kirklees","E08000034","Total",307194,209514,184331,44638,112199,27494,14465,10718,97680,44027,17593,15227,13504,7329,4398,2392,2672,5850,153650,114430,100357,10911,69065,20381,8982,5091,39220,18609,9305,1333,7112,2861,2737,1653,1484,3569,153544,95084,83974,33727,43134,7113,5483,5627,58460,25418,8288,13894,6392,4468,1661,739,1188,2281
"2011","Leeds","E08000035","Total",560849,389929,333333,73507,217528,42298,26786,29810,170920,69446,46047,20435,22498,12494,7613,4454,4798,10856,276642,204788,174742,16468,127743,30531,16787,13259,71854,29269,22556,2197,11784,6048,4838,3085,2832,6700,284207,185141,158591,57039,89785,11767,9999,16551,99066,40177,23491,18238,10714,6446,2775,1369,1966,4156
"2011","Wakefield","E08000036","Total",240997,164768,148026,35763,95559,16704,11702,5040,76229,38721,8474,9554,14092,5388,3875,1937,1900,4496,119565,87505,78240,6811,59162,12267,7080,2185,32060,16727,4174,1086,7657,2416,2404,1357,1122,2532,121432,77263,69786,28952,36397,4437,4622,2855,44169,21994,4300,8468,6435,2972,1471,580,778,1964
"2011","Derby","E06000015","Total",179291,123691,106946,26310,68979,11657,9297,7448,55600,22925,11237,8595,8574,4269,2961,1277,1760,3668,89232,66060,57083,6060,42432,8591,5590,3387,23172,9976,6110,881,4413,1792,1783,886,971,2119,90059,57631,49863,20250,26547,3066,3707,4061,32428,12949,5127,7714,4161,2477,1178,391,789,1549
"2011","Leicester","E06000016","Total",242232,156425,128142,33341,80780,14021,14982,13301,85807,22435,27604,15035,12397,8336,3920,2530,3165,6109,120130,85795,70598,10734,49131,10733,8835,6362,34335,9474,13527,1477,6347,3510,2302,1657,1685,3508,122102,70630,57544,22607,31649,3288,6147,6939,51472,12961,14077,13558,6050,4826,1618,873,1480,2601
"2011","Nottingham","E06000018","Total",232072,142327,112861,27605,72252,13004,14775,14691,89745,21144,37733,10854,13161,6853,4359,2075,2879,5834,118102,76978,60973,7882,43350,9741,9151,6854,41124,9241,19887,1370,7251,3375,2587,1465,1675,3467,113970,65349,51888,19723,28902,3263,5624,7837,48621,11903,17846,9484,5910,3478,1772,610,1204,2367
"2011","Rutland","E06000017","Total",27052,18758,17509,3847,10314,3348,643,606,8294,4579,1568,878,463,806,165,187,69,245,13893,10271,9623,924,6571,2128,349,299,3622,1924,826,47,231,594,99,105,45,122,13159,8487,7886,2923,3743,1220,294,307,4672,2655,742,831,232,212,66,82,24,123
"2011","Derbyshire","E10000007","Total",567798,397053,361367,86622,221973,52772,22206,13480,170745,95875,20422,20778,24687,8983,6905,4300,3065,8988,282589,211349,191936,15894,138684,37358,13541,5872,71240,41558,10170,2241,13160,4111,4398,2889,1868,5190,285209,185704,169431,70728,83289,15414,8665,7608,99505,54317,10252,18537,11527,4872,2507,1411,1197,3798
"2011","Leicestershire","E10000018","Total",479462,342139,312516,70396,195058,47062,14534,15089,137323,73264,29200,15363,12666,6830,4148,3134,1787,5456,239178,181442,165916,12434,120334,33148,8424,7102,57736,30985,15750,1361,6312,3328,2574,2055,1037,2940,240284,160697,146600,57962,74724,13914,6110,7987,79587,42279,13450,14002,6354,3502,1574,1079,750,2516
"2011","Lincolnshire","E10000019","Total",524197,357652,322612,75973,196958,49681,20035,15005,166545,95106,20830,20749,21076,8784,6078,4250,2617,7797,256939,189032,171038,14926,121948,34164,11752,6242,67907,40788,10139,2063,10890,4027,3740,2743,1536,4256,267258,168620,151574,61047,75010,15517,8283,8763,98638,54318,10691,18686,10186,4757,2338,1507,1081,3541
"2011","Northamptonshire","E10000021","Total",506174,372720,337185,70097,219562,47526,20078,15457,133454,68299,19649,19466,16900,9140,5585,4097,2318,7589,251387,198051,179464,12590,133243,33631,11746,6841,53336,28558,10002,1704,8542,4530,3450,2641,1357,4069,254787,174669,157721,57507,86319,13895,8332,8616,80118,39741,9647,17762,8358,4610,2135,1456,961,3520
"2011","Nottinghamshire","E10000024","Total",578254,401265,363377,86589,227198,49590,22745,15143,176989,95255,23698,21883,25340,10813,7250,4256,3374,8707,287364,212788,192384,17308,139708,35368,13816,6588,74576,41374,12030,2159,13523,5490,4679,2832,2064,4912,290890,188477,170993,69281,87490,14222,8929,8555,102413,53881,11668,19724,11817,5323,2571,1424,1310,3795
"2011","Herefordshire, County of","E06000019","Total",133442,95114,87590,20345,48094,19151,4353,3171,38328,22149,4845,4636,4600,2098,1308,976,493,1630,66453,50822,46897,3866,29799,13232,2583,1342,15631,9312,2534,439,2420,926,852,589,321,873,66989,44292,40693,16479,18295,5919,1770,1829,22697,12837,2311,4197,2180,1172,456,387,172,757
"2011","Shropshire","E06000051","Total",223892,158983,146401,34760,83106,28535,7350,5232,64909,37833,8764,7529,7237,3546,2187,1569,856,2837,112582,85814,79023,6648,52301,20074,4486,2305,26768,15897,4549,681,3834,1807,1426,1026,542,1603,111310,73169,67378,28112,30805,8461,2864,2927,38141,21936,4215,6848,3403,1739,761,543,314,1234
"2011","Stoke-on-Trent","E06000021","Total",182808,119743,103269,24732,67097,11440,9715,6759,63065,26108,10260,8553,13223,4921,2993,1442,1589,3851,92289,65624,56336,6079,41345,8912,6076,3212,26665,11105,5332,1051,7043,2134,1926,989,931,2291,90519,54119,46933,18653,25752,2528,3639,3547,36400,15003,4928,7502,6180,2787,1067,453,658,1560
"2011","Telford and Wrekin","E06000020","Total",122279,84947,75685,16530,50567,8588,5806,3456,37332,16798,6213,5923,6001,2397,1826,859,833,2359,61199,46004,40935,3384,31442,6109,3487,1582,15195,7176,3246,702,3044,1027,1108,536,500,1336,61080,38943,34750,13146,19125,2479,2319,1874,22137,9622,2967,5221,2957,1370,718,323,333,1023
"2011","Staffordshire","E10000028","Total",629358,439182,398238,92188,248271,57779,22661,18283,190176,104794,28007,22191,23657,11527,6830,4615,2840,8821,315041,234688,212711,17483,153115,42113,13726,8251,80353,45068,14554,2111,12416,6204,4345,3104,1693,5061,314317,204494,185527,74705,95156,15666,8935,10032,109823,59726,13453,20080,11241,5323,2485,1511,1147,3760
"2011","Warwickshire","E10000031","Total",401630,288343,263128,56523,166704,39901,13910,11305,113287,61205,19880,13783,12413,6006,3832,2990,1695,5316,200111,153252,139917,10613,102098,27206,8368,4967,46859,26368,10282,1212,6431,2566,2407,1970,1018,3046,201519,135091,123211,45910,64606,12695,5542,6338,66428,34837,9598,12571,5982,3440,1425,1020,677,2270
"2011","Birmingham","E08000025","Total",760252,488221,400679,96186,251668,52825,54114,33428,272031,81213,74102,48771,39917,28028,14994,8237,13444,22140,374659,265992,216421,29659,146204,40558,34004,15567,108667,35287,36476,4702,20792,11410,9421,5762,7376,14209,385593,222229,184258,66527,105464,12267,20110,17861,163364,45926,37626,44069,19125,16618,5573,2475,6068,7931
"2011","Coventry","E08000026","Total",231871,153745,128764,29800,84624,14340,12532,12449,78126,27790,24219,10049,10487,5581,3521,1916,2394,4872,116897,82379,68272,6964,50648,10660,7679,6428,34518,12259,13467,1073,5364,2355,2163,1337,1279,2831,114974,71366,60492,22836,33976,3680,4853,6021,43608,15531,10752,8976,5123,3226,1358,579,1115,2041
"2011","Dudley","E08000027","Total",226726,155530,137720,33987,86654,17079,12064,5746,71196,36619,9636,10355,10060,4526,3479,2237,2035,5401,112766,83647,73582,6284,54165,13133,7583,2482,29119,15889,4870,1079,5406,1875,2236,1566,1167,3333,113960,71883,64138,27703,32489,3946,4481,3264,42077,20730,4766,9276,4654,2651,1243,671,868,2068
"2011","Sandwell","E08000028","Total",219508,146653,124338,29779,81339,13220,16049,6266,72855,28582,11728,12859,12679,7007,4653,2550,3406,6937,108870,79587,66894,7357,49169,10368,9900,2793,29283,12297,5857,1475,6683,2971,3000,1743,1917,4192,110638,67066,57444,22422,32170,2852,6149,3473,43572,16285,5871,11384,5996,4036,1653,807,1489,2745
"2011","Solihull","E08000029","Total",148360,105108,94586,21701,59212,13673,6304,4218,43252,24019,6496,5506,4949,2282,2064,1201,983,2497,72566,55089,49420,4048,35591,9781,3834,1835,17477,10374,3226,434,2556,887,1336,814,608,1418,75794,50019,45166,17653,23621,3892,2470,2383,25775,13645,3270,5072,2393,1395,728,387,375,1079
"2011","Walsall","E08000030","Total",191974,126805,108668,26934,67743,13991,13006,5131,65169,28865,9544,11220,9974,5566,3936,2086,2690,5844,95034,69220,58923,6196,41818,10909,7988,2309,25814,12301,4622,1329,5291,2271,2452,1398,1471,3491,96940,57585,49745,20738,25925,3082,5018,2822,39355,16564,4922,9891,4683,3295,1484,688,1219,2353
"2011","Wolverhampton","E08000031","Total",179983,120402,99729,24364,63981,11384,14127,6546,59581,23763,11036,9479,9765,5538,3989,2241,2823,6236,89977,65252,53288,5852,38694,8742,8817,3147,24725,10189,5589,1160,5220,2567,2446,1521,1605,3867,90006,55150,46441,18512,25287,2642,5310,3399,34856,13574,5447,8319,4545,2971,1543,720,1218,2369
"2011","Worcestershire","E10000034","Total",415036,296083,268731,61898,162811,44022,15424,11928,118953,66567,17126,14474,13527,7259,4415,3579,1826,6030,206118,156800,142112,11577,99574,30961,9488,5200,49318,28626,8590,1321,6953,3828,2802,2385,1156,3479,208918,139283,126619,50321,63237,13061,5936,6728,69635,37941,8536,13153,6574,3431,1613,1194,670,2551
"2011","Bedford","E06000055","Total",113764,81782,72610,15841,45943,10826,5060,4112,31982,14517,6231,4918,3749,2567,1314,1037,733,1969,56180,43412,38533,3376,27366,7791,3023,1856,12768,6183,3157,365,1898,1165,854,673,436,1120,57584,38370,34077,12465,18577,3035,2037,2256,19214,8334,3074,4553,1851,1402,460,364,297,849
"2011","Central Bedfordshire","E06000056","Total",186658,139525,127845,26069,81304,20472,6443,5237,47133,25111,7768,7346,4409,2499,1708,1548,711,2474,93043,74443,68333,4351,49258,14724,3703,2407,18600,10622,4391,453,2116,1018,1072,978,421,1286,93615,65082,59512,21718,32046,5748,2740,2830,28533,14489,3377,6893,2293,1481,636,570,290,1188
"2011","Luton","E06000032","Total",145208,100272,83876,18407,53271,12198,8337,8059,44936,14336,10703,9660,5496,4741,2097,1340,1648,3186,73205,56057,46883,5353,31611,9919,4807,4367,17148,6287,5649,680,2726,1806,1248,895,788,1803,72003,44215,36993,13054,21660,2279,3530,3692,27788,8049,5054,8980,2770,2935,849,445,860,1383
"2011","Peterborough","E06000031","Total",132318,95646,85370,18654,56704,10012,6691,3585,36672,15323,5104,7270,5484,3491,2008,1121,1129,2516,65972,52078,46514,4419,34777,7318,3879,1685,13894,6556,2582,591,2737,1428,1228,689,632,1298,66346,43568,38856,14235,21927,2694,2812,1900,22778,8767,2522,6679,2747,2063,780,432,497,1218
"2011","Southend-on-Sea","E06000033","Total",125007,88324,78722,17949,47972,12801,6209,3393,36683,17655,4769,6298,5311,2650,1661,1191,773,2607,62105,47619,42238,3792,28979,9467,3834,1547,14486,7531,2390,649,2811,1105,1058,799,476,1503,62902,40705,36484,14157,18993,3334,2375,1846,22197,10124,2379,5649,2500,1545,603,392,297,1104
"2011","Thurrock","E06000034","Total",114124,84464,75151,16370,48620,10161,6190,3123,29660,13377,3987,5903,4037,2356,1718,1030,946,2553,56734,45531,40651,3006,29734,7911,3500,1380,11203,5634,1965,541,2092,971,1051,655,548,1295,57390,38933,34500,13364,18886,2250,2690,1743,18457,7743,2022,5362,1945,1385,667,375,398,1258
"2011","Cambridgeshire","E10000003","Total",461380,332195,303634,61890,196394,45350,13775,14786,129185,58816,33690,17055,12220,7404,3812,2970,1577,5287,232271,178599,163572,12273,120411,30888,8070,6957,53672,24775,17856,1304,6042,3695,2451,1936,941,2787,229109,153596,140062,49617,75983,14462,5705,7829,75513,34041,15834,15751,6178,3709,1361,1034,636,2500
"2011","Essex","E10000012","Total",1011611,719430,653605,145817,395312,112476,38074,27751,292181,155639,40372,47562,31887,16721,10661,8137,4667,15536,496532,384822,350059,25837,241654,82568,22118,12645,111710,65078,20326,3314,15930,7062,6699,5190,2778,8328,515079,334608,303546,119980,153658,29908,15956,15106,180471,90561,20046,44248,15957,9659,3962,2947,1889,7208
"2011","Hertfordshire","E10000015","Total",806213,598438,544134,109693,341147,93294,28301,26003,207775,96720,40850,36518,20236,13451,7385,6041,3321,10928,397960,318360,289956,20050,204257,65649,16217,12187,79600,40505,20653,2349,10208,5885,4674,3885,1901,5743,408253,280078,254178,89643,136890,27645,12084,13816,128175,56215,20197,34169,10028,7566,2711,2156,1420,5185
