"date","geography","geography code","Rural Urban","Sex: All persons; Economic Activity: All usual residents aged 16 to 74; measures: Value","Sex: All persons; Economic Activity: Economically active; measures: Value","Sex: All persons; Economic Activity: Economically active: In employment; measures: Value","Sex: All persons; Economic Activity: Economically active: Employee: Part-time; measures: Value","Sex: All persons; Economic Activity: Economically active: Employee: Full-time; measures: Value","Sex: All persons; Economic Activity: Economically active: Self-employed; measures: Value","Sex: All persons; Economic Activity: Economically active: Unemployed; measures: Value","Sex: All persons; Economic Activity: Economically active: Full-time student; measures: Value","Sex: All persons; Economic Activity: Economically Inactive; measures: Value","Sex: All persons; Economic Activity: Economically inactive: Retired; measures: Value","Sex: All persons; Economic Activity: Economically inactive: Student (including full-time students); measures: Value","Sex: All persons; Economic Activity: Economically inactive: Looking after home or family; measures: Value","Sex: All persons; Economic Activity: Economically inactive: Long-term sick or disabled; measures: Value","Sex: All persons; Economic Activity: Economically inactive: Other; measures: Value","Sex: All persons; Economic Activity: Unemployed: Age 16 to 24; measures: Value","Sex: All persons; Economic Activity: Unemployed: Age 50 to 74; measures: Value","Sex: All persons; Economic Activity: Unemployed: Never worked; measures: Value","Sex: All persons; Economic Activity: Long-term unemployed; measures: Value","Sex: Males; Economic Activity: All usual residents aged 16 to 74; measures: Value","Sex: Males; Economic Activity: Economically active; measures: Value","Sex: Males; Economic Activity: Economically active: In employment; measures: Value","Sex: Males; Economic Activity: Economically active: Employee: Part-time; measures: Value","Sex: Males; Economic Activity: Economically active: Employee: Full-time; measures: Value","Sex: Males; Economic Activity: Economically active: Self-employed; measures: Value","Sex: Males; Economic Activity: Economically active: Unemployed; measures: Value","Sex: Males; Economic Activity: Economically active: Full-time student; measures: Value","Sex: Males; Economic Activity: Economically Inactive; measures: Value","Sex: Males; Economic Activity: Economically inactive: Retired; measures: Value","Sex: Males; Economic Activity: Economically inactive: Student (including full-time students); measures: Value","Sex: Males; Economic Activity: Economically inactive: Looking after home or family; measures: Value","Sex: Males; Economic Activity: Economically inactive: Long-term sick or disabled; measures: Value","Sex: Males; Economic Activity: Economically inactive: Other; measures: Value","Sex: Males; Economic Activity: Unemployed: Age 16 to 24; measures: Value","Sex: Males; Economic Activity: Unemployed: Age 50 to 74; measures: Value","Sex: Males; Economic Activity: Unemployed: Never worked; measures: Value","Sex: Males; Economic Activity: Long-term unemployed; measures: Value","Sex: Females; Economic Activity: All usual residents aged 16 to 74; measures: Value","Sex: Females; Economic Activity: Economically active; measures: Value","Sex: Females; Economic Activity: Economically active: In employment; measures: Value","Sex: Females; Economic Activity: Economically active: Employee: Part-time; measures: Value","Sex: Females; Economic Activity: Economically active: Employee: Full-time; measures: Value","Sex: Females; Economic Activity: Economically active: Self-employed; measures: Value","Sex: Females; Economic Activity: Economically active: Unemployed; measures: Value","Sex: Females; Economic Activity: Economically active: Full-time student; measures: Value","Sex: Females; Economic Activity: Economically Inactive; measures: Value","Sex: Females; Economic Activity: Economically inactive: Retired; measures: Value","Sex: Females; Economic Activity: Economically inactive: Student (including full-time students); measures: Value","Sex: Females; Economic Activity: Economically inactive: Looking after home or family; measures: Value","Sex: Females; Economic Activity: Economically inactive: Long-term sick or disabled; measures: Value","Sex: Females; Economic Activity: Economically inactive: Other; measures: Value","Sex: Females; Economic Activity: Unemployed: Age 16 to 24; measures: Value","Sex: Females; Economic Activity: Unemployed: Age 50 to 74; measures: Value","Sex: Females; Economic Activity: Unemployed: Never worked; measures: Value","Sex: Females; Economic Activity: Long-term unemployed; measures: Value"
"2011","Norfolk","E10000020","Total",623798,424732,383638,94006,225180,64452,23678,17416,199066,111739,25667,25902,24187,11571,7092,4996,2882,9175,308754,227650,205673,19029,141524,45120,14366,7611,81104,47463,12796,2611,12483,5751,4502,3194,1788,5246,315044,197082,177965,74977,83656,19332,9312,9805,117962,64276,12871,23291,11704,5820,2590,1802,1094,3929
"2011","Suffolk","E10000029","Total",525463,373282,340981,82248,204527,54206,18873,13428,152181,86545,17006,22120,16484,10026,5743,3807,2335,7184,262363,201825,184439,15483,131267,37689,11389,5997,60538,36805,8579,1733,8225,5196,3610,2505,1407,4008,263100,171457,156542,66765,73260,16517,7484,7431,91643,49740,8427,20387,8259,4830,2133,1302,928,3176
"2011","Camden","E09000007","Total",173833,118397,103986,13727,66955,23304,7755,6656,55436,11908,22734,7874,7663,5257,1461,1404,1580,3068,85356,62686,55448,4995,36247,14206,4249,2989,22670,5023,10646,648,4117,2236,872,858,782,1669,88477,55711,48538,8732,30708,9098,3506,3667,32766,6885,12088,7226,3546,3021,589,546,798,1399
"2011","City of London","E09000001","Total",6307,4972,4641,360,3245,1036,187,144,1335,580,363,153,116,123,29,44,25,65,3596,3012,2830,147,1976,707,106,76,584,254,171,18,74,67,18,30,14,39,2711,1960,1811,213,1269,329,81,68,751,326,192,135,42,56,11,14,11,26
"2011","Hackney","E09000012","Total",187423,133883,113367,21394,68680,23293,13207,7309,53540,10441,16455,9262,9788,7594,2679,2023,2899,5385,92813,70453,59605,8470,36348,14787,7644,3204,22360,4545,8095,1129,5153,3438,1541,1320,1584,3159,94610,63430,53762,12924,32332,8506,5563,4105,31180,5896,8360,8133,4635,4156,1138,703,1315,2226
"2011","Hammersmith and Fulham","E09000013","Total",145552,107754,95640,11073,66703,17864,7060,5054,37798,9135,11919,6645,5670,4429,1364,1102,1288,2708,71047,55562,49336,3529,34903,10904,3848,2378,15485,3692,6287,521,3031,1954,799,678,660,1421,74505,52192,46304,7544,31800,6960,3212,2676,22313,5443,5632,6124,2639,2475,565,424,628,1287
"2011","Haringey","E09000014","Total",193062,138189,118886,21601,70472,26813,11730,7573,54873,13391,15945,9604,8448,7485,2212,1901,2619,4360,95559,73275,63155,7990,38065,17100,6638,3482,22284,5641,7865,1056,4296,3426,1320,1070,1320,2476,97503,64914,55731,13611,32407,9713,5092,4091,32589,7750,8080,8548,4152,4059,892,831,1299,1884
"2011","Islington","E09000019","Total",165149,117488,102325,13596,69852,18877,8960,6203,47661,10204,16458,6611,8707,5681,1966,1412,1824,3590,81308,61445,53886,4646,37412,11828,4917,2642,19863,4423,7595,733,4524,2588,1204,837,921,1942,83841,56043,48439,8950,32440,7049,4043,3561,27798,5781,8863,5878,4183,3093,762,575,903,1648
"2011","Kensington and Chelsea","E09000020","Total",126080,87517,79198,8583,51211,19404,5433,2886,38563,10119,11031,7740,4503,5170,915,1020,909,2298,62056,47953,43758,2942,29360,11456,2867,1328,14103,4065,5395,439,2398,1806,549,578,461,1190,64024,39564,35440,5641,21851,7948,2566,1558,24460,6054,5636,7301,2105,3364,366,442,448,1108
"2011","Lambeth","E09000022","Total",237730,183190,159823,22530,110465,26828,14255,9112,54540,13265,16062,8411,9068,7734,2810,2304,2725,5824,118845,96183,84042,7285,59396,17361,7955,4186,22662,5745,7515,821,4887,3694,1651,1404,1465,3133,118885,87007,75781,15245,51069,9467,6300,4926,31878,7520,8547,7590,4181,4040,1159,900,1260,2691
"2011","Lewisham","E09000023","Total",206255,151793,128905,24079,82776,22050,12776,10112,54462,15088,15018,9179,8779,6398,2765,2074,2474,5064,100913,78480,66486,7461,44571,14454,7176,4818,22433,6535,7333,1045,4650,2870,1624,1301,1276,2768,105342,73313,62419,16618,38205,7596,5600,5294,32029,8553,7685,8134,4129,3528,1141,773,1198,2296
"2011","Newham","E09000025","Total",228958,153761,118862,26408,70712,21742,15734,19165,75197,13211,24959,16510,9728,10789,3695,2064,4623,5652,120928,90528,69304,12208,41087,16009,8701,12523,30400,5660,13951,1472,4790,4527,2155,1241,2181,3153,108030,63233,49558,14200,29625,5733,7033,6642,44797,7551,11008,15038,4938,6262,1540,823,2442,2499
"2011","Southwark","E09000028","Total",224551,163859,139286,22225,94675,22386,13484,11089,60692,12940,22256,8438,9653,7405,2703,2336,2742,5447,111432,86060,73523,7215,51690,14618,7553,4984,25372,5409,10554,957,5046,3406,1528,1463,1419,2982,113119,77799,65763,15010,42985,7768,5931,6105,35320,7531,11702,7481,4607,3999,1175,873,1323,2465
"2011","Tower Hamlets","E09000030","Total",196552,137233,113219,18852,78031,16336,13259,10755,59319,9262,19407,13809,8893,7948,3446,1683,3442,4986,102168,79353,65867,9351,45086,11430,7693,5793,22815,4098,9504,1348,4692,3173,1987,1131,1536,3150,94384,57880,47352,9501,32945,4906,5566,4962,36504,5164,9903,12461,4201,4775,1459,552,1906,1836
"2011","Wandsworth","E09000032","Total",243533,189789,172468,18968,123965,29535,9311,8010,53744,15140,14599,10424,7027,6554,1825,1585,1534,3589,117887,96990,88485,5600,64475,18410,5111,3394,20897,6260,6811,786,3794,3246,1058,974,781,1929,125646,92799,83983,13368,59490,11125,4200,4616,32847,8880,7788,9638,3233,3308,767,611,753,1660
"2011","Westminster","E09000033","Total",175505,120418,107531,12606,72899,22026,7941,4946,55087,12010,17835,9521,8492,7229,1356,1348,1621,3118,89830,67674,60930,5203,41924,13803,4384,2360,22156,5037,8713,874,4563,2969,733,768,824,1779,85675,52744,46601,7403,30975,8223,3557,2586,32931,6973,9122,8647,3929,4260,623,580,797,1339
"2011","Barking and Dagenham","E09000002","Total",127568,86404,71519,15608,44490,11421,9367,5518,41164,10995,9485,9476,6459,4749,2328,1305,2050,3989,61749,46390,38400,4124,25627,8649,5178,2812,15359,4622,4864,848,3147,1878,1420,853,1020,2101,65819,40014,33119,11484,18863,2772,4189,2706,25805,6373,4621,8628,3312,2871,908,452,1030,1888
"2011","Barnet","E09000003","Total",258443,184483,163942,30478,93174,40290,11476,9065,73960,22967,21112,14277,7885,7719,2460,2024,2177,4427,124982,97368,87035,8170,51580,27285,6113,4220,27614,9069,10514,971,3928,3132,1494,1153,1095,2135,133461,87115,76907,22308,41594,13005,5363,4845,46346,13898,10598,13306,3957,4587,966,871,1082,2292
"2011","Bexley","E09000004","Total",165914,118864,106286,23072,66838,16376,7245,5333,47050,21839,9177,7696,4943,3395,2055,1346,1171,2846,80134,61944,55621,4330,38658,12633,3916,2407,18190,9107,4562,588,2440,1493,1222,838,626,1396,85780,56920,50665,18742,28180,3743,3329,2926,28860,12732,4615,7108,2503,1902,833,508,545,1450
"2011","Brent","E09000005","Total",233726,163991,139478,25702,83772,30004,13535,10978,69735,18619,19919,13035,9119,9043,2691,2357,3161,5021,117833,89774,76137,9038,45916,21183,7575,6062,28059,7943,10231,1083,4898,3904,1631,1438,1551,2762,115893,74217,63341,16664,37856,8821,5960,4916,41676,10676,9688,11952,4221,5139,1060,919,1610,2259
"2011","Bromley","E09000006","Total",222539,161282,147108,29012,91506,26590,8668,5506,61257,29656,10635,10614,6057,4295,2164,1811,1179,3521,107302,83986,76597,5458,52285,18854,4930,2459,23316,12317,5276,703,3199,1821,1347,1137,694,1813,115237,77296,70511,23554,39221,7736,3738,3047,37941,17339,5359,9911,2858,2474,817,674,485,1708
"2011","Croydon","E09000008","Total",263048,190308,165753,33112,105621,27020,14512,10043,72740,26079,16641,13265,9272,7483,3563,2527,2643,5805,127430,99206,86390,8478,58558,19354,7992,4824,28224,10866,8299,1136,4777,3146,2140,1545,1401,3005,135618,91102,79363,24634,47063,7666,6520,5219,44516,15213,8342,12129,4495,4337,1423,982,1242,2800
"2011","Ealing","E09000009","Total",252764,180615,157500,25882,100465,31153,13158,9957,72149,20905,18771,14552,9134,8787,2732,2257,3013,5100,126972,98765,86213,8491,56186,21536,7357,5195,28207,8994,9674,1161,4636,3742,1643,1390,1518,2812,125792,81850,71287,17391,44279,9617,5801,4762,43942,11911,9097,13391,4498,5045,1089,867,1495,2288
"2011","Enfield","E09000010","Total",224024,153334,131601,29134,77326,25141,13192,8541,70690,22062,17187,13464,9242,8735,3168,2082,3031,5262,107259,80732,69585,9347,42160,18078,7245,3902,26527,9167,8103,1172,4658,3427,1857,1279,1476,2785,116765,72602,62016,19787,35166,7063,5947,4639,44163,12895,9084,12292,4584,5308,1311,803,1555,2477
"2011","Greenwich","E09000011","Total",186722,132073,110846,20697,71844,18305,11518,9709,54649,15695,13957,9577,8621,6799,2714,1676,2518,4507,92957,70425,59307,5912,40499,12896,6317,4801,22532,6684,6890,987,4590,3381,1592,1037,1317,2298,93765,61648,51539,14785,31345,5409,5201,4908,32117,9011,7067,8590,4031,3418,1122,639,1201,2209
"2011","Harrow","E09000015","Total",174751,123307,109034,21423,65492,22119,7854,6419,51444,18189,13417,9580,5105,5153,1688,1527,1620,2938,86454,66777,59278,5878,37381,16019,4107,3392,19677,7571,7041,722,2438,1905,996,938,717,1476,88297,56530,49756,15545,28111,6100,3747,3027,31767,10618,6376,8858,2667,3248,692,589,903,1462
"2011","Havering","E09000016","Total",171128,121642,109446,23479,67989,17978,7627,4569,49486,24404,7944,8374,5407,3357,2291,1446,1149,3093,83293,64532,58171,4166,39856,14149,4338,2023,18761,10067,3929,580,2737,1448,1438,922,691,1538,87835,57110,51275,19313,28133,3829,3289,2546,30725,14337,4015,7794,2670,1909,853,524,458,1555
"2011","Hillingdon","E09000017","Total",199926,141542,123188,23706,80835,18647,8693,9661,58384,20310,16788,10311,5886,5089,2036,1574,1653,3499,99498,76205,66549,5726,46821,14002,4631,5025,23293,8637,8845,819,2854,2138,1231,971,803,1723,100428,65337,56639,17980,34014,4645,4062,4636,35091,11673,7943,9492,3032,2951,805,603,850,1776
"2011","Hounslow","E09000018","Total",190157,137867,120742,20588,79763,20391,8815,8310,52290,15843,12769,11167,6502,6009,2064,1522,1761,3316,95979,75992,66432,6203,45992,14237,4850,4710,19987,6810,6548,826,3248,2555,1265,970,861,1733,94178,61875,54310,14385,33771,6154,3965,3600,32303,9033,6221,10341,3254,3454,799,552,900,1583
"2011","Kingston upon Thames","E09000021","Total",119673,87348,77126,13588,49530,14008,3850,6372,32325,11281,10305,5616,2664,2459,879,804,526,1459,58891,46291,41152,3294,28449,9409,2210,2929,12600,4871,5057,344,1365,963,538,544,266,818,60782,41057,35974,10294,21081,4599,1640,3443,19725,6410,5248,5272,1299,1496,341,260,260,641
"2011","Merton","E09000024","Total",149598,112038,100904,16484,65877,18543,6072,5062,37560,12903,9150,7912,3741,3854,1257,1143,1043,2313,74021,59958,53873,4645,36602,12626,3398,2687,14063,5376,4682,541,1892,1572,773,702,536,1198,75577,52080,47031,11839,29275,5917,2674,2375,23497,7527,4468,7371,1849,2282,484,441,507,1115
"2011","Redbridge","E09000026","Total",199544,137776,119012,23948,71627,23437,10590,8174,61768,19026,16199,13137,6548,6858,2475,1734,2467,4119,99119,75716,65506,7207,40862,17437,5644,4566,23403,8088,8708,883,3111,2613,1464,1099,1108,2104,100425,62060,53506,16741,30765,6000,4946,3608,38365,10938,7491,12254,3437,4245,1011,635,1359,2015
"2011","Richmond upon Thames","E09000027","Total",137779,104090,96185,14207,61511,20467,4153,3752,33689,13794,7383,6979,2802,2731,810,998,450,1560,67574,55137,51119,3327,35281,12511,2354,1664,12437,5840,3498,411,1481,1207,509,638,253,845,70205,48953,45066,10880,26230,7956,1799,2088,21252,7954,3885,6568,1321,1524,301,360,197,715
"2011","Sutton","E09000029","Total",138710,103995,94432,18502,60111,15819,5429,4134,34715,15461,6454,6238,3904,2658,1378,1035,759,2155,67721,54464,49579,3719,34026,11834,3009,1876,13257,6451,3246,409,2049,1102,869,644,426,1060,70989,49531,44853,14783,26085,3985,2420,2258,21458,9010,3208,5829,1855,1556,509,391,333,1095
"2011","Waltham Forest","E09000031","Total",190978,135015,114964,21889,69385,23690,11654,8397,55963,15335,15209,11429,7166,6824,2892,1775,2687,4458,95950,73795,62402,7299,37991,17112,6567,4826,22155,6723,8154,944,3553,2781,1700,1127,1366,2486,95028,61220,52562,14590,31394,6578,5087,3571,33808,8612,7055,10485,3613,4043,1192,648,1321,1972
"2011","Bracknell Forest","E06000036","Total",83116,65137,59995,11066,40762,8167,2808,2334,17979,8496,3007,3450,1770,1256,742,626,281,1058,41416,34612,31964,1960,24288,5716,1583,1065,6804,3596,1533,208,891,576,460,390,170,509,41700,30525,28031,9106,16474,2451,1225,1269,11175,4900,1474,3242,879,680,282,236,111,549
"2011","Brighton and Hove","E06000043","Total",210792,150853,130732,27492,75999,27241,7818,12303,59939,19625,20567,7249,8813,3685,1968,1345,863,3023,106215,79645,69427,7222,43788,18417,4647,5571,26570,8850,10441,709,4866,1704,1183,881,502,1720,104577,71208,61305,20270,32211,8824,3171,6732,33369,10775,10126,6540,3947,1981,785,464,361,1303
"2011","Isle of Wight","E06000046","Total",99747,64218,57634,15728,30353,11553,4386,2198,35529,20478,3661,3933,4504,2953,1310,935,417,1764,49344,33606,29913,3675,18305,7933,2659,1034,15738,9001,1882,471,2388,1996,829,588,273,1029,50403,30612,27721,12053,12048,3620,1727,1164,19791,11477,1779,3462,2116,957,481,347,144,735
"2011","Medway","E06000035","Total",194158,137954,121925,27137,77912,16876,9469,6560,56204,24738,9912,10105,7334,4115,2982,1710,1449,3818,97049,74758,65959,4962,48185,12812,5702,3097,22291,10718,4900,833,3821,2019,1898,1171,883,2083,97109,63196,55966,22175,29727,4064,3767,3463,33913,14020,5012,9272,3513,2096,1084,539,566,1735
"2011","Milton Keynes","E06000042","Total",181385,137717,123379,23644,84004,15731,8640,5698,43668,18654,7143,8338,5810,3723,2056,1720,986,3364,90038,73548,65916,4745,49949,11222,4956,2676,16490,7695,3688,646,2790,1671,1250,1093,512,1800,91347,64169,57463,18899,34055,4509,3684,3022,27178,10959,3455,7692,3020,2052,806,627,474,1564
"2011","Portsmouth","E06000044","Total",153705,105834,89920,20626,57743,11551,6536,9378,47871,16385,16380,6297,5813,2996,1694,1221,810,2730,78625,56830,48347,4475,34923,8949,3878,4605,21795,7195,9471,614,3108,1407,1046,827,473,1515,75080,49004,41573,16151,22820,2602,2658,4773,26076,9190,6909,5683,2705,1589,648,394,337,1215
"2011","Reading","E06000038","Total",116808,86329,75175,13883,52054,9238,5329,5825,30479,10001,9297,5334,3227,2620,1268,928,812,2195,59094,46757,41056,3160,31025,6871,3005,2696,12337,4364,4723,405,1620,1225,782,623,423,1188,57714,39572,34119,10723,21029,2367,2324,3129,18142,5637,4574,4929,1607,1395,486,305,389,1007
"2011","Slough","E06000039","Total",100458,73819,64422,11886,43610,8926,5440,3957,26639,7517,5813,6555,3388,3366,1303,865,1014,2121,50452,40732,35665,3376,25453,6836,3027,2040,9720,3225,2982,424,1743,1346,782,580,472,1137,50006,33087,28757,8510,18157,2090,2413,1917,16919,4292,2831,6131,1645,2020,521,285,542,984
"2011","Southampton","E06000045","Total",180201,123193,103902,22856,68082,12964,7631,11660,57008,17775,20857,7449,7330,3597,2191,1217,1117,2958,92233,66841,56371,5185,41248,9938,4659,5811,25392,7665,11571,735,3867,1554,1369,840,633,1670,87968,56352,47531,17671,26834,3026,2972,5849,31616,10110,9286,6714,3463,2043,822,377,484,1288
"2011","West Berkshire","E06000037","Total",112054,85401,79342,15567,51084,12691,3279,2780,26653,14094,3799,4769,2420,1571,850,839,311,1210,55877,45822,42621,2726,31339,8556,1929,1272,10055,5960,1906,315,1216,658,556,531,199,642,56177,39579,36721,12841,19745,4135,1350,1508,16598,8134,1893,4454,1204,913,294,308,112,568
"2011","Windsor and Maidenhead","E06000040","Total",104247,77650,71967,12727,46337,12903,3292,2391,26597,13366,4598,5016,1834,1783,802,768,361,1243,51766,41769,38771,2552,27691,8528,1894,1104,9997,5659,2449,271,909,709,540,495,201,646,52481,35881,33196,10175,18646,4375,1398,1287,16600,7707,2149,4745,925,1074,262,273,160,597
"2011","Wokingham","E06000041","Total",112273,84912,78623,15282,51260,12081,2958,3331,27361,14976,4441,4799,1742,1403,724,757,335,1035,55658,45346,42176,2600,31296,8280,1641,1529,10312,6388,2225,236,860,603,447,445,187,518,56615,39566,36447,12682,19964,3801,1317,1802,17049,8588,2216,4563,882,800,277,312,148,517
"2011","Buckinghamshire","E10000002","Total",363773,267881,246388,48249,151064,47075,10887,10606,95892,48349,16339,17245,7360,6599,2748,2612,1345,3955,179917,143808,132428,9380,90986,32062,6416,4964,36109,20055,8294,1050,3706,3004,1774,1671,779,2138,183856,124073,113960,38869,60078,15013,4471,5642,59783,28294,8045,16195,3654,3595,974,941,566,1817
"2011","East Sussex","E10000011","Total",374518,254952,230929,55152,125533,50244,13503,10520,119566,66736,14879,15665,15388,6898,3827,3142,1623,5479,182548,134484,121536,11616,75009,34911,8159,4789,48064,27765,7561,1502,8088,3148,2446,2008,1063,3145,191970,120468,109393,43536,50524,15333,5344,5731,71502,38971,7318,14163,7300,3750,1381,1134,560,2334
"2011","Hampshire","E10000014","Total",954975,699397,642371,139162,403763,99446,28508,28518,255578,144936,34057,37867,24979,13739,8009,6664,2989,10496,470268,370849,341649,24472,249135,68042,16330,12870,99419,61318,16938,2636,12423,6104,5101,4228,1851,5418,484707,328548,300722,114690,154628,31404,12178,15648,156159,83618,17119,35231,12556,7635,2908,2436,1138,5078
"2011","Kent","E10000016","Total",1055397,737908,663483,149177,399625,114681,41541,32884,317489,159127,50767,49761,37471,20363,12219,8608,5851,16120,520003,393049,353575,29056,243364,81155,24593,14881,126954,67860,25568,4098,19801,9627,7659,5663,3501,8851,535394,344859,309908,120121,156261,33526,16948,18003,190535,91267,25199,45663,17670,10736,4560,2945,2350,7269
"2011","Oxfordshire","E10000025","Total",482238,350119,320335,64450,205466,50419,13103,16681,132119,57079,38179,17972,10553,8336,3591,2717,1537,4792,240333,185530,170031,12559,124330,33142,7596,7903,54803,23825,20178,1278,5335,4187,2263,1734,949,2570,241905,164589,150304,51891,81136,17277,5507,8778,77316,33254,18001,16694,5218,4149,1328,983,588,2222
"2011","Surrey","E10000030","Total",817272,601791,553692,106283,344923,102486,22772,25327,215481,105585,40897,38200,16744,14055,5715,5642,2479,8470,403579,321836,297202,19489,208128,69585,13179,11455,81743,44386,20735,2047,8515,6060,3682,3568,1541,4507,413693,279955,256490,86794,136795,32901,9593,13872,133738,61199,20162,36153,8229,7995,2033,2074,938,3963
"2011","West Sussex","E10000032","Total",577224,416119,381119,85566,228254,67299,18331,16669,161105,91376,20056,23515,16915,9243,4905,4332,1891,7041,281840,219063,200589,16482,137869,46238,10630,7844,62777,38238,10151,1668,8564,4156,3070,2662,1174,3749,295384,197056,180530,69084,90385,21061,7701,8825,98328,53138,9905,21847,8351,5087,1835,1670,717,3292
"2011","Bath and North East Somerset","E06000022","Total",130550,89752,79491,18818,46367,14306,3548,6713,40798,17896,13209,4289,3610,1794,969,736,388,1292,64437,46887,41830,3681,28579,9570,2142,2915,17550,7563,6924,311,1927,825,624,491,255,718,66113,42865,37661,15137,17788,4736,1406,3798,23248,10333,6285,3978,1683,969,345,245,133,574
"2011","Bournemouth","E06000028","Total",137574,96017,83404,18289,51149,13966,5262,7351,41557,16837,11098,4887,6176,2559,1213,1097,493,2015,69974,51747,45004,4412,30546,10046,3319,3424,18227,7303,5618,445,3639,1222,794,767,315,1175,67600,44270,38400,13877,20603,3920,1943,3927,23330,9534,5480,4442,2537,1337,419,330,178,840
"2011","Bristol, City of","E06000023","Total",321506,227119,197915,42980,127829,27106,13817,15387,94387,31534,28932,12556,13973,7392,3752,2179,2095,5134,162332,121060,105311,10023,76324,18964,8527,7222,41272,13918,14763,1242,7795,3554,2357,1505,1206,3125,159174,106059,92604,32957,51505,8142,5290,8165,53115,17616,14169,11314,6178,3838,1395,674,889,2009
"2011","Cornwall","E06000052","Total",388858,259484,235986,59778,123195,53013,12694,10804,129374,73605,16726,15517,16980,6546,3831,2876,1282,4529,189647,136388,124355,12838,75578,35939,7474,4559,53259,31325,8306,1757,8896,2975,2460,1768,776,2462,199211,123096,111631,46940,47617,17074,5220,6245,76115,42280,8420,13760,8084,3571,1371,1108,506,2067
"2011","Isles of Scilly","E06000053","Total",1622,1331,1306,220,653,433,18,7,291,209,13,26,14,29,1,8,1,7,817,703,693,41,385,267,9,1,114,93,6,1,2,12,1,5,1,3,805,628,613,179,268,166,9,6,177,116,7,25,12,17,0,3,0,4
"2011","North Somerset","E06000024","Total",145352,102607,94139,23117,55596,15426,4350,4118,42745,25366,4591,5082,5607,2099,1112,1039,377,1590,71402,53941,49519,4195,34681,10643,2539,1883,17461,10833,2291,411,2976,950,692,646,223,881,73950,48666,44620,18922,20915,4783,1811,2235,25284,14533,2300,4671,2631,1149,420,393,154,709
"2011","Plymouth","E06000026","Total",191786,127742,110706,28356,69234,13116,8136,8900,64044,27019,16060,7482,10042,3441,2678,1379,1115,3009,95767,67809,58696,5870,43442,9384,4967,4146,27958,11708,8637,776,5325,1512,1645,926,691,1691,96019,59933,52010,22486,25792,3732,3169,4754,36086,15311,7423,6706,4717,1929,1033,453,424,1318
"2011","Poole","E06000029","Total",106391,75720,69143,16215,42040,10888,3413,3164,30671,17178,4008,4338,3486,1661,933,786,337,1251,52913,40568,37068,3172,26196,7700,2064,1436,12345,7348,2056,397,1788,756,591,508,230,695,53478,35152,32075,13043,15844,3188,1349,1728,18326,9830,1952,3941,1698,905,342,278,107,556
"2011","South Gloucestershire","E06000025","Total",192468,143198,131089,31453,82489,17147,5354,6755,49270,27390,7885,6244,4872,2879,1563,1046,565,1884,96377,75930,69681,5011,52296,12374,3173,3076,20447,11894,4301,471,2412,1369,1026,677,348,1007,96091,67268,61408,26442,30193,4773,2181,3679,28823,15496,3584,5773,2460,1510,537,369,217,877
"2011","Swindon","E06000030","Total",154080,117039,106110,22137,71912,12061,6518,4411,37041,17868,4895,6301,5271,2706,1721,1297,797,2487,77754,63408,57526,4372,44454,8700,3833,2049,14346,7634,2410,539,2614,1149,1072,837,459,1364,76326,53631,48584,17765,27458,3361,2685,2362,22695,10234,2485,5762,2657,1557,649,460,338,1123
"2011","Torbay","E06000027","Total",94000,61795,55066,14782,29537,10747,4275,2454,32205,18416,3032,3624,5454,1679,1247,977,443,1670,45882,32279,28540,3324,17615,7601,2594,1145,13603,7875,1539,453,2956,780,799,621,287,944,48118,29516,26526,11458,11922,3146,1681,1309,18602,10541,1493,3171,2498,899,448,356,156,726
"2011","Wiltshire","E06000054","Total",339595,250792,232126,50806,143218,38102,9999,8667,88803,49893,11119,13554,9102,5135,2877,2256,1037,3666,168862,134856,125411,9435,90935,25041,5580,3865,34006,20874,5387,942,4511,2292,1775,1435,652,1836,170733,115936,106715,41371,52283,13061,4419,4802,54797,29019,5732,12612,4591,2843,1102,821,385,1830
"2011","Devon","E10000008","Total",541219,371847,341115,84667,181896,74552,15256,15476,169372,98590,25369,18374,18222,8817,4486,3729,1445,5531,265057,194724,178948,17334,111693,49921,8853,6923,70333,41738,12965,1767,9478,4385,2815,2256,900,2929,276162,177123,162167,67333,70203,24631,6403,8553,99039,56852,12404,16607,8744,4432,1671,1473,545,2602
"2011","Dorset","E10000009","Total",293441,199943,184949,46265,101952,36732,7986,7008,93498,59463,9336,10556,9080,5063,2233,2070,694,2897,144818,106401,98619,9204,64596,24819,4571,3211,38417,25068,4940,890,4687,2832,1397,1274,450,1511,148623,93542,86330,37061,37356,11913,3415,3797,55081,34395,4396,9666,4393,2231,836,796,244,1386
"2011","Gloucestershire","E10000013","Total",437088,316633,288900,65427,174614,48859,14232,13501,120455,64968,19114,16240,13326,6807,3937,3239,1647,5505,216701,168288,153798,12372,108472,32954,8531,5959,48413,27535,9540,1305,6946,3087,2500,2111,1033,3117,220387,148345,135102,53055,66142,15905,5701,7542,72042,37433,9574,14935,6380,3720,1437,1128,614,2388
"2011","Somerset","E10000027","Total",381185,269768,248686,60626,141278,46782,11350,9732,111417,64972,13422,13935,13317,5771,3466,2644,1255,4092,187920,142870,131857,11605,88686,31566,6653,4360,45050,27477,6889,1283,6787,2614,2193,1660,774,2153,193265,126898,116829,49021,52592,15216,4697,5372,66367,37495,6533,12652,6530,3157,1273,984,481,1939
