Economic Activity:,All persons,,,,,,,,,,,,,,,,,,
Area,code,2012,rate,2013,rate,2014,rate,2015,rate,2016,rate,2017,rate,2018,rate,2019,rate,2021,2021pred
gor:Yorkshire and The Humber,E12000003,242113,9.1,235719,8.7,167501,6.3,167889,6.3,135021,5,134503,5,142261,5.2,119054,4.4,109769,46098
gor:East Midlands,E12000004,174796,7.6,156935,6.7,110559,4.7,103882,4.4,111288,4.6,98738,4.1,121174,5,90062,3.6,102954,36701
gor:West Midlands,E12000005,251762,8.9,235107,8.4,168831,6.1,141787,5.1,162534,5.6,147298,5.1,151029,5.2,129031,4.3,143021,53343
gor:East,E12000006,208721,6.8,175916,5.7,153790,5,120375,3.8,138464,4.4,134778,4.2,90671,2.8,111078,3.4,110863,42202
gor:London,E12000007,391461,8.8,374374,8.2,301070,6.5,299543,6.3,265932,5.6,242048,5,217662,4.5,211139,4.3,278225,132442
gor:South East,E12000008,300698,6.6,236407,5.1,215073,4.7,181246,3.9,158437,3.4,150361,3.1,144815,3.1,149776,3.1,199240,49574
gor:South West,E12000009,150562,5.6,175130,6.4,124666,4.5,105772,3.8,98424,3.5,103675,3.6,87251,3,80687,2.8,94436,30678
gor:Wales,W92000004,128005,8.6,106332,7,99559,6.7,79483,5.3,67514,4.5,77924,5.1,66102,4.1,43976,2.9,56089,18284
Economic Activity:,Total economically inactive,,,,,,,,,,,,,,,,,,
Area,code,2012,rate,2013,rate,2014,rate,2015,rate,2016,rate,2017,rate,2018,rate,2019,rate,2021,2021pred
country:England and Wales,K04000001,16453681,36.3,16636014,36.4,16845529,36.6,16844634,36.3,16929304,36.2,16985851,36.2,16921574,35.8,16848034,35.4,17466956,16817642
gor:North East,E12000001,847382,40.1,852543,40.2,845250,39.8,821826,38.6,858232,40.1,856983,40,863795,40.3,863194,40.5,902775,838530
gor:North West,E12000002,2162713,38.1,2244278,39.4,2199518,38.4,2188615,38,2197726,38,2237352,38.6,2175267,37.4,2144629,36.4,2290395,2098881
gor:Yorkshire and The Humber,E12000003,1592021,37.4,1580230,37,1624150,37.8,1634818,37.8,1621973,37.4,1678807,38.6,1637782,37.5,1686689,38.5,1737069,1649892
gor:East Midlands,E12000004,1371389,37.3,1377720,37.2,1368300,36.6,1414925,37.5,1406401,36.9,1436744,37.5,1418496,36.9,1368060,35.1,1485479,1361098
gor:West Midlands,E12000005,1655129,36.9,1731954,38.3,1768606,38.9,1801905,39.3,1748553,37.8,1779641,38.3,1766626,37.9,1735627,36.9,1759500,1701567
gor:East,E12000006,1653617,34.9,1680643,35.2,1718899,35.6,1702097,35,1745853,35.7,1748963,35.5,1763279,35.6,1743636,34.7,1788989,1745349
gor:London,E12000007,2146260,32.5,2146553,32.1,2168971,32,2149885,31.3,2155761,31.1,2158398,30.9,2187797,30.9,2152168,30.4,2132046,2142872
gor:South East,E12000008,2405428,34.6,2410105,34.3,2466139,34.8,2497653,35,2512599,34.9,2453018,33.9,2533334,34.8,2477978,33.7,2605578,2458306
gor:South West,E12000009,1622673,37.5,1623178,37.2,1657377,37.7,1623744,36.6,1662041,37.2,1621788,36,1626647,36,1666384,36.3,1736347,1607806
gor:Wales,W92000004,997069,40.1,988811,39.6,1028319,41,1009167,40.1,1020164,40.4,1014156,40,948552,37.3,1009670,40.3,1028778,941689
