"date","geography","geography code","Economic Activity: All usual residents aged 16 to 74; measures: Value","Economic Activity: Economically active; measures: Value","Economic Activity: Economically active: In employment; measures: Value","Economic Activity: Economically active: Employee: Part-time; measures: Value","Economic Activity: Economically active: Employee: Full-time; measures: Value","Economic Activity: Economically active: Self-employed; measures: Value","Economic Activity: Economically active: Unemployed; measures: Value","Economic Activity: Economically active: Full-time student; measures: Value","Economic Activity: Economically Inactive; measures: Value","Economic Activity: Economically inactive: Retired; measures: Value","Economic Activity: Economically inactive: Student (including full-time students); measures: Value","Economic Activity: Economically inactive: Looking after home or family; measures: Value","Economic Activity: Economically inactive: Long-term sick or disabled; measures: Value","Economic Activity: Economically inactive: Other; measures: Value","Economic Activity: Unemployed: Age 16 to 24; measures: Value","Economic Activity: Unemployed: Age 50 to 74; measures: Value","Economic Activity: Unemployed: Never worked; measures: Value","Economic Activity: Long-term unemployed; measures: Value"
"2011","Waltham Forest","E09000031",190978,135015,114964,21889,69385,23690,11654,8397,55963,15335,15209,11429,7166,6824,2892,1775,2687,4458
"2011","Bracknell Forest","E06000036",83116,65137,59995,11066,40762,8167,2808,2334,17979,8496,3007,3450,1770,1256,742,626,281,1058
"2011","Brighton and Hove","E06000043",210792,150853,130732,27492,75999,27241,7818,12303,59939,19625,20567,7249,8813,3685,1968,1345,863,3023
"2011","Isle of Wight","E06000046",99747,64218,57634,15728,30353,11553,4386,2198,35529,20478,3661,3933,4504,2953,1310,935,417,1764
"2011","Medway","E06000035",194158,137954,121925,27137,77912,16876,9469,6560,56204,24738,9912,10105,7334,4115,2982,1710,1449,3818
"2011","Milton Keynes","E06000042",181385,137717,123379,23644,84004,15731,8640,5698,43668,18654,7143,8338,5810,3723,2056,1720,986,3364
"2011","Portsmouth","E06000044",153705,105834,89920,20626,57743,11551,6536,9378,47871,16385,16380,6297,5813,2996,1694,1221,810,2730
"2011","Reading","E06000038",116808,86329,75175,13883,52054,9238,5329,5825,30479,10001,9297,5334,3227,2620,1268,928,812,2195
"2011","Slough","E06000039",100458,73819,64422,11886,43610,8926,5440,3957,26639,7517,5813,6555,3388,3366,1303,865,1014,2121
"2011","Southampton","E06000045",180201,123193,103902,22856,68082,12964,7631,11660,57008,17775,20857,7449,7330,3597,2191,1217,1117,2958
"2011","West Berkshire","E06000037",112054,85401,79342,15567,51084,12691,3279,2780,26653,14094,3799,4769,2420,1571,850,839,311,1210
"2011","Windsor and Maidenhead","E06000040",104247,77650,71967,12727,46337,12903,3292,2391,26597,13366,4598,5016,1834,1783,802,768,361,1243
"2011","Wokingham","E06000041",112273,84912,78623,15282,51260,12081,2958,3331,27361,14976,4441,4799,1742,1403,724,757,335,1035
"2011","Buckinghamshire","E10000002",363773,267881,246388,48249,151064,47075,10887,10606,95892,48349,16339,17245,7360,6599,2748,2612,1345,3955
"2011","East Sussex","E10000011",374518,254952,230929,55152,125533,50244,13503,10520,119566,66736,14879,15665,15388,6898,3827,3142,1623,5479
"2011","Hampshire","E10000014",954975,699397,642371,139162,403763,99446,28508,28518,255578,144936,34057,37867,24979,13739,8009,6664,2989,10496
"2011","Kent","E10000016",1055397,737908,663483,149177,399625,114681,41541,32884,317489,159127,50767,49761,37471,20363,12219,8608,5851,16120
"2011","Oxfordshire","E10000025",482238,350119,320335,64450,205466,50419,13103,16681,132119,57079,38179,17972,10553,8336,3591,2717,1537,4792
"2011","Surrey","E10000030",817272,601791,553692,106283,344923,102486,22772,25327,215481,105585,40897,38200,16744,14055,5715,5642,2479,8470
"2011","West Sussex","E10000032",577224,416119,381119,85566,228254,67299,18331,16669,161105,91376,20056,23515,16915,9243,4905,4332,1891,7041
"2011","Bath and North East Somerset","E06000022",130550,89752,79491,18818,46367,14306,3548,6713,40798,17896,13209,4289,3610,1794,969,736,388,1292
"2011","Bournemouth","E06000028",137574,96017,83404,18289,51149,13966,5262,7351,41557,16837,11098,4887,6176,2559,1213,1097,493,2015
"2011","Bristol, City of","E06000023",321506,227119,197915,42980,127829,27106,13817,15387,94387,31534,28932,12556,13973,7392,3752,2179,2095,5134
"2011","Cornwall","E06000052",388858,259484,235986,59778,123195,53013,12694,10804,129374,73605,16726,15517,16980,6546,3831,2876,1282,4529
"2011","Isles of Scilly","E06000053",1622,1331,1306,220,653,433,18,7,291,209,13,26,14,29,1,8,1,7
"2011","North Somerset","E06000024",145352,102607,94139,23117,55596,15426,4350,4118,42745,25366,4591,5082,5607,2099,1112,1039,377,1590
"2011","Plymouth","E06000026",191786,127742,110706,28356,69234,13116,8136,8900,64044,27019,16060,7482,10042,3441,2678,1379,1115,3009
"2011","Poole","E06000029",106391,75720,69143,16215,42040,10888,3413,3164,30671,17178,4008,4338,3486,1661,933,786,337,1251
"2011","South Gloucestershire","E06000025",192468,143198,131089,31453,82489,17147,5354,6755,49270,27390,7885,6244,4872,2879,1563,1046,565,1884
"2011","Swindon","E06000030",154080,117039,106110,22137,71912,12061,6518,4411,37041,17868,4895,6301,5271,2706,1721,1297,797,2487
"2011","Torbay","E06000027",94000,61795,55066,14782,29537,10747,4275,2454,32205,18416,3032,3624,5454,1679,1247,977,443,1670
"2011","Wiltshire","E06000054",339595,250792,232126,50806,143218,38102,9999,8667,88803,49893,11119,13554,9102,5135,2877,2256,1037,3666
"2011","Devon","E10000008",541219,371847,341115,84667,181896,74552,15256,15476,169372,98590,25369,18374,18222,8817,4486,3729,1445,5531
"2011","Dorset","E10000009",293441,199943,184949,46265,101952,36732,7986,7008,93498,59463,9336,10556,9080,5063,2233,2070,694,2897
"2011","Gloucestershire","E10000013",437088,316633,288900,65427,174614,48859,14232,13501,120455,64968,19114,16240,13326,6807,3937,3239,1647,5505
"2011","Somerset","E10000027",381185,269768,248686,60626,141278,46782,11350,9732,111417,64972,13422,13935,13317,5771,3466,2644,1255,4092
"2011","Isle of Anglesey","W06000001",50818,33023,29423,6949,17274,5200,2381,1219,17795,10150,2266,1891,2592,896,654,478,303,1058
"2011","Gwynedd","W06000002",88913,57995,51063,12300,27834,10929,3176,3756,30918,14561,7814,3062,3867,1614,944,637,396,1234
"2011","Conwy","W06000003",81906,53792,48239,12398,26697,9144,3362,2191,28114,16178,3453,2684,4363,1436,919,707,387,1439
"2011","Denbighshire","W06000004",67676,44409,39788,9696,23121,6971,2857,1764,23267,12487,3239,2314,4088,1139,960,537,417,1111
"2011","Flintshire","W06000005",112325,78957,71539,16875,45785,8879,4332,3086,33368,18839,4240,3858,4829,1602,1384,872,532,1621
"2011","Wrexham","W06000006",98691,68413,61123,14567,39011,7545,4128,3162,30278,14983,4409,3799,5269,1818,1251,750,573,1690
"2011","Powys","W06000023",96069,66846,61870,13955,31210,16705,2928,2048,29223,17283,3539,3036,3926,1439,937,659,372,1095
"2011","Ceredigion","W06000008",57405,35064,30031,6612,15161,8258,1469,3564,22341,9550,7835,1610,2521,825,429,346,177,586
"2011","Pembrokeshire","W06000009",88049,58120,52601,13507,27231,11863,3555,1964,29929,16505,3311,3766,4693,1654,1121,730,438,1273
"2011","Carmarthenshire","W06000010",132930,86217,77956,18475,44839,14642,4962,3299,46713,24097,5992,5007,9055,2562,1612,920,726,2018
"2011","Swansea","W06000011",176971,111460,96413,25141,59606,11666,6831,8216,65511,27684,15342,6565,12146,3774,2036,1106,986,2509
"2011","Neath Port Talbot","W06000012",102986,64110,57220,14335,36977,5908,4630,2260,38876,17837,4397,4446,9839,2357,1548,747,673,1706
"2011","Bridgend","W06000013",102805,66449,59433,14633,38066,6734,4687,2329,36356,17204,4228,3986,7899,3039,1514,766,664,1858
"2011","Vale of Glamorgan","W06000014",91816,63384,57143,13657,34955,8531,3956,2285,28432,14912,4235,3362,4414,1509,1157,789,513,1623
"2011","Cardiff","W06000015",260268,174753,147955,32468,97170,18317,11566,15232,85515,27061,28383,10403,13477,6191,3465,1859,2097,4356
"2011","Rhondda Cynon Taff","W06000016",172047,108730,95326,23068,61225,11033,8104,5300,63317,27595,9914,7007,14854,3947,2824,1177,1464,3332
"2011","Merthyr Tydfil","W06000024",43377,27833,24285,5913,15882,2490,2481,1067,15544,6690,2078,1678,4107,991,842,379,476,1082
"2011","Caerphilly","W06000018",130950,84932,75354,17292,50160,7902,6731,2847,46018,21032,5869,5645,10731,2741,2335,992,1240,2915
"2011","Blaenau Gwent","W06000019",51809,32145,27516,6763,18147,2606,3557,1072,19664,8709,2245,2312,4995,1403,1164,534,703,1583
"2011","Torfaen","W06000020",66107,43820,38965,9535,25574,3856,3163,1692,22287,11115,2662,2897,4410,1203,1088,502,472,1269
"2011","Monmouthshire","W06000021",66107,45272,41554,9352,24246,7956,2217,1501,20835,11640,2838,2426,2646,1285,735,454,309,821
"2011","Newport","W06000022",105141,71011,61602,15531,39177,6894,5616,3793,34130,15389,5591,4642,6039,2469,1853,879,1033,2249
"2011","Aberdeen City","S12000033",174869,128106,109950,20380,79453,10117,5367,12789,46763,18757,13512,5608,6011,2875,1556,949,624,1840
"2011","Aberdeenshire","S12000034",187492,140410,130236,28407,82666,19163,4772,5402,47082,25538,5867,7874,5116,2687,1515,991,509,1612
"2011","Angus","S12000041",84940,58850,52873,12122,33532,7219,3541,2436,26090,15377,3163,2876,3218,1456,1147,649,504,1349
"2011","Argyll and Bute","S12000035",65156,44675,40840,9090,23837,7913,2665,1170,20481,12762,2306,2077,2359,977,754,658,289,1002
"2011","Clackmannanshire","S12000005",38771,26167,22937,5034,15580,2323,2205,1025,12604,6354,1395,1408,2248,1199,716,397,378,912
"2011","Dumfries and Galloway","S12000006",111107,75189,68289,17623,38387,12279,4681,2219,35918,21678,3531,3635,5260,1814,1589,857,639,1789
"2011","Dundee City","S12000042",111319,71721,57971,13971,38595,5405,6384,7366,39598,15847,11232,3543,6732,2244,1904,1065,1035,2681
