x,y,geography code,year
15.31802,3.9137442,E07000099,2011
15.285031,3.5748148,E07000240,2011
15.156622,4.910332,E07000243,2011
15.114681,4.896713,E07000102,2011
15.190609,4.671565,E07000103,2011
15.620161,4.2445674,E07000241,2011
15.031064,3.9187357,E07000143,2011
15.021809,4.0717244,E07000144,2011
15.127872,4.678114,E07000145,2011
14.878901,3.5006828,E07000146,2011
14.92589,4.6289396,E07000147,2011
15.429987,3.5828671,E07000148,2011
15.032389,4.0939994,E07000149,2011
14.949293,4.9050245,E07000200,2011
14.6358185,5.330598,E07000201,2011
15.330726,3.5703576,E07000202,2011
15.000116,4.7071466,E07000203,2011
15.160679,4.374445,E07000204,2011
15.077095,4.114282,E07000205,2011
15.076183,4.3073354,E07000206,2011
15.294488,-0.8999395,E09000007,2011
12.744057,5.6370907,E09000001,2011
11.675192,-2.4316685,E09000012,2011
14.094332,-0.084377564,E09000013,2011
13.052328,-2.4853854,E09000014,2011
14.752961,-0.73238593,E09000019,2011
12.391596,0.8033578,E09000020,2011
6.4033556,-1.6591291,E09000022,2011
8.060497,-1.9316242,E09000023,2011
6.9731503,-1.7483273,E09000025,2011
8.573423,-2.120404,E09000028,2011
11.117949,-1.3259202,E09000030,2011
13.397989,-1.7613703,E09000032,2011
4.4472313,-0.7269835,E09000033,2011
13.369343,0.5863484,E09000002,2011
10.106709,-2.0847182,E09000003,2011
14.897408,0.8825441,E09000004,2011
8.270097,-2.1449354,E09000005,2011
13.232725,-0.23874909,E09000006,2011
7.1889915,-1.8632576,E09000008,2011
7.752741,-1.8591974,E09000009,2011
11.266436,-2.6279335,E09000010,2011
13.357587,-1.6945202,E09000011,2011
11.487232,-1.0632694,E09000015,2011
14.510745,1.1201682,E09000016,2011
15.25642,-1.653912,E09000017,2011
13.23492,-1.492149,E09000018,2011
15.411929,2.282735,E09000021,2011
15.172247,0.48369035,E09000024,2011
10.777205,-1.6501477,E09000026,2011
14.917787,1.948127,E09000027,2011
15.2581215,1.715119,E09000029,2011
14.981482,-2.6992188,E09000031,2011
15.285708,4.258787,E06000036,2011
13.234928,0.12718683,E06000043,2011
14.940804,3.7059186,E06000046,2011
13.9305725,0.7480728,E06000035,2011
14.342424,0.33042085,E06000042,2011
14.830365,1.5204601,E06000044,2011
15.333593,2.5349452,E06000038,2011
13.782112,2.4129362,E06000039,2011
14.520346,0.7607027,E06000045,2011
14.837084,3.2558756,E06000037,2011
15.332776,3.4676712,E06000040,2011
15.244786,3.2001255,E06000041,2011
14.899231,2.65786,E07000004,2011
15.051186,4.809514,E07000005,2011
14.778138,5.265037,E07000006,2011
15.123309,2.5672944,E07000007,2011
15.256922,4.66024,E07000061,2011
15.186865,4.796197,E07000062,2011
15.097999,4.717695,E07000063,2011
14.935135,4.8843665,E07000064,2011
14.826824,3.5049841,E07000065,2011
14.736715,2.8433611,E07000084,2011
15.121593,4.288459,E07000085,2011
15.222942,4.0097914,E07000086,2011
15.131985,4.3617773,E07000087,2011
14.992337,4.9922657,E07000088,2011
15.035351,4.812631,E07000089,2011
15.131109,4.166244,E07000090,2011
14.44327,2.8378727,E07000091,2011
15.27297,4.69684,E07000092,2011
15.157619,4.255009,E07000093,2011
15.212285,4.237898,E07000094,2011
15.292685,4.24176,E07000105,2011
15.120928,3.1815352,E07000106,2011
15.401974,4.665928,E07000107,2011
15.164978,4.3800006,E07000108,2011
15.6467705,4.5695972,E07000109,2011
14.989319,3.2384846,E07000110,2011
15.132313,4.3174257,E07000111,2011
15.22906,4.4623823,E07000112,2011
15.095357,3.7631116,E07000113,2011
15.143999,3.8116238,E07000114,2011
15.172733,4.169999,E07000115,2011
15.181923,4.306529,E07000116,2011
15.145351,3.567848,E07000177,2011
15.355803,2.6004567,E07000178,2011
14.982487,3.8106072,E07000179,2011
15.174323,4.1498036,E07000180,2011
15.025202,4.5087314,E07000181,2011
15.332052,3.8845031,E07000207,2011
15.069617,5.1242514,E07000208,2011
15.599728,3.6105528,E07000209,2011
15.000343,4.962428,E07000210,2011
15.264468,3.6756086,E07000211,2011
15.170464,5.0039887,E07000212,2011
15.305572,4.6883144,E07000213,2011
15.128078,4.920866,E07000214,2011
14.957798,4.97516,E07000215,2011
15.160476,4.189713,E07000216,2011
15.368876,4.6178203,E07000217,2011
14.588498,5.3467064,E07000223,2011
14.884035,3.4871805,E07000224,2011
15.150166,4.359985,E07000225,2011
15.435438,4.362423,E07000226,2011
15.050734,3.898823,E07000227,2011
14.996811,3.682634,E07000228,2011
15.249509,4.550162,E07000229,2011
14.781881,2.6054237,E06000022,2011
14.960735,2.228628,E06000028,2011
8.155014,0.24231437,E06000023,2011
4.915233,1.7695187,E06000052,2011
12.431826,5.6092405,E06000053,2011
13.905014,2.1816504,E06000024,2011
12.838236,1.0847319,E06000026,2011
15.008738,3.478909,E06000029,2011
12.664209,1.0642557,E06000025,2011
14.254274,1.7472551,E06000030,2011
15.048426,3.9037452,E06000027,2011
6.5308747,1.6556507,E06000054,2011
14.887002,3.9552596,E07000040,2011
15.444304,4.0912504,E07000041,2011
14.779196,5.0865183,E07000042,2011
15.0060625,4.785506,E07000043,2011
14.871099,4.979575,E07000044,2011
14.983509,4.0939837,E07000045,2011
14.558891,5.2956924,E07000046,2011
14.331028,5.4279838,E07000047,2011
14.12913,5.506079,E07000048,2011
14.877212,4.9465594,E07000049,2011
14.640179,5.238359,E07000050,2011
14.080139,5.5157804,E07000051,2011
14.967661,4.693492,E07000052,2011
14.6401205,5.269875,E07000053,2011
15.280275,4.1843634,E07000078,2011
14.873421,4.987189,E07000079,2011
14.891418,4.988976,E07000080,2011
