x,y,year,geography code,geography,Ethnic Total,Asian,Black,Mixed,White,Other,Economic Total,Economically active,Economically active: In employment,Economically active: Unemployed,Economically inactive
-0.25288463,11.393692,2021,E06000057,Northumberland,320566,3374,598,2557,313027,1010,268850,148602,140780,7822,120248
-0.73531103,10.772041,2021,E06000058,"Bournemouth, Christchurch and Poole",400195,13551,4233,11093,365510,5808,334908,197215,186030,11185,137693
-0.6274605,11.248603,2021,E06000059,Dorset,379580,4305,1082,4436,368415,1342,321900,174681,167777,6904,147219
-0.9570413,10.333305,2021,E06000060,Buckinghamshire,553078,68318,14269,19570,442164,8757,443394,285487,273235,12252,157907
-0.43975562,10.99169,2021,E06000061,North Northamptonshire,359523,12726,11017,8175,324664,2941,289187,186661,178857,7804,102526
-0.7650826,10.58227,2021,E06000062,West Northamptonshire,425723,22463,20661,12116,365758,4725,343503,226381,215996,10385,117122
5.0177884,10.348681,2021,E07000008,Cambridge,145674,21626,3561,7410,108570,4507,124765,74213,70598,3615,50552
11.5789,10.059696,2021,E07000009,East Cambridgeshire,87763,1688,705,1883,82912,575,71429,46215,44695,1520,25214
10.6250725,11.37528,2021,E07000010,Fenland,102461,1232,814,1412,98280,723,84835,49392,47109,2283,35443
3.6360028,11.025606,2021,E07000011,Huntingdonshire,180832,5745,2646,4057,167116,1268,148261,94850,91391,3459,53411
4.9789357,11.068033,2021,E07000012,South Cambridgeshire,162117,9399,2019,4591,144285,1823,130361,85049,82267,2782,45312
11.614257,11.164864,2021,E07000026,Allerdale,96153,540,84,627,94667,235,80510,46015,44235,1780,34495
13.88776,8.891433,2021,E07000027,Barrow-in-Furness,67406,949,250,550,65412,245,55834,32692,31183,1509,23142
9.746128,11.712334,2021,E07000028,Carlisle,110025,1628,337,973,106508,579,91343,55272,52950,2322,36071
13.888114,8.98497,2021,E07000029,Copeland,67076,547,185,450,65714,180,56009,31946,30571,1375,24063
14.585057,8.63283,2021,E07000030,Eden,54737,435,87,368,53699,148,46635,28183,27335,848,18452
10.745816,11.603692,2021,E07000031,South Lakeland,104450,812,251,1034,102025,328,89703,51636,50137,1499,38067
7.7915897,12.279419,2021,E07000032,Amber Valley,126204,1208,381,1548,122767,300,105066,62625,60171,2454,42441
12.262194,9.975055,2021,E07000033,Bolsover,80270,722,419,744,78143,242,66278,39653,38100,1553,26625
10.4221945,11.407274,2021,E07000034,Chesterfield,103568,1950,839,1498,98857,424,86004,49883,47532,2351,36121
13.749818,9.039908,2021,E07000035,Derbyshire Dales,71535,518,169,723,69940,185,61061,34373,33229,1144,26688
9.326487,11.635592,2021,E07000036,Erewash,112908,1788,871,2048,107769,432,93526,57478,54966,2512,36048
11.711539,10.64398,2021,E07000037,High Peak,90935,694,223,1185,88614,219,75662,46481,44616,1865,29181
10.940273,11.473695,2021,E07000038,North East Derbyshire,102003,952,324,1170,99367,190,85275,48471,46564,1907,36804
10.041728,11.414476,2021,E07000039,South Derbyshire,107206,3841,855,1934,99836,740,86956,55907,53907,2000,31049
5.275428,12.622114,2021,E07000040,East Devon,150823,1459,348,1720,146847,449,127388,69189,66727,2462,58199
6.972662,11.730092,2021,E07000041,Exeter,130707,6375,1137,3308,118034,1853,111331,63256,59701,3555,48075
12.208173,10.098918,2021,E07000042,Mid Devon,82853,562,101,899,81068,223,68203,41654,40279,1375,26549
11.213265,11.309535,2021,E07000043,North Devon,98612,1135,325,1174,95639,339,82194,47138,45166,1972,35056
12.2186985,10.679214,2021,E07000044,South Hams,88628,614,149,1048,86427,390,74968,42013,40585,1428,32955
6.9733505,12.435795,2021,E07000045,Teignbridge,134802,1004,216,1564,131668,350,113461,64536,62137,2399,48925
13.874548,9.063705,2021,E07000046,Torridge,68114,356,75,630,66920,133,57560,31418,30054,1364,26142
14.472124,8.615121,2021,E07000047,West Devon,57094,337,122,626,55847,162,48362,26317,25384,933,22045
10.254099,10.870258,2021,E07000061,Eastbourne,101680,3544,1308,2802,92342,1684,84573,46757,43831,2926,37816
11.017528,9.887502,2021,E07000062,Hastings,90995,2536,1262,2639,83191,1367,74702,43772,40897,2875,30930
10.699405,10.907583,2021,E07000063,Lewes,99909,1899,722,2461,94101,726,83221,46800,44506,2294,36421
