x,y,geography code,year
5.1650896,7.798614,E07000240,2011
12.884847,9.276186,E07000243,2011
12.890953,9.287559,E07000102,2011
12.131024,8.700416,E07000103,2011
11.859516,8.540032,E07000241,2011
5.849223,9.4309435,E07000143,2011
6.668995,9.614159,E07000144,2011
11.111361,10.505019,E07000145,2011
4.6277227,8.732916,E07000146,2011
10.842753,10.126572,E07000147,2011
3.9032843,8.780037,E07000148,2011
6.721676,9.590605,E07000149,2011
12.861613,10.462455,E07000200,2011
16.036047,8.88914,E07000201,2011
5.0979085,7.8651614,E07000202,2011
11.456568,9.961752,E07000203,2011
8.296292,9.45373,E07000204,2011
6.652357,9.648799,E07000205,2011
8.823604,10.411929,E07000206,2011
0.4310036,4.742088,E09000007,2011
16.683481,8.485715,E09000001,2011
-0.31423143,4.7193604,E09000012,2011
0.4329811,4.9454656,E09000013,2011
-0.26586163,4.781938,E09000014,2011
0.40520814,4.8643413,E09000019,2011
0.532619,5.114918,E09000020,2011
-0.4322538,4.8316646,E09000022,2011
-0.3965721,4.8633814,E09000023,2011
-0.20148487,4.283208,E09000025,2011
-0.41979244,4.801348,E09000028,2011
0.024014508,4.213651,E09000030,2011
0.42568833,4.2065487,E09000032,2011
-0.06959523,4.605743,E09000033,2011
0.808666,5.15599,E09000002,2011
-0.26395288,4.419923,E09000003,2011
1.5444467,4.7459693,E09000004,2011
-0.34125936,4.41105,E09000005,2011
1.0709608,3.8358898,E09000006,2011
-0.49509045,4.8031,E09000008,2011
-0.33037058,4.369862,E09000009,2011
-0.400171,4.578302,E09000010,2011
0.0305524,4.8597693,E09000011,2011
0.04580836,4.2785883,E09000015,2011
1.6589074,4.706329,E09000016,2011
0.18898053,4.342732,E09000017,2011
0.069372326,4.287571,E09000018,2011
2.0968616,6.5134177,E09000021,2011
0.9617095,5.1721997,E09000024,2011
-0.030323269,4.196533,E09000026,2011
2.1466594,6.0668583,E09000027,2011
1.9465569,6.0860176,E09000029,2011
-0.044804208,4.7043705,E09000031,2011
7.6082573,9.0620985,E06000036,2011
1.3305045,3.70766,E06000043,2011
4.864344,9.454351,E06000046,2011
1.6180211,3.9065459,E06000035,2011
1.4310391,4.6737914,E06000042,2011
2.0604591,5.139049,E06000044,2011
2.171813,6.610283,E06000038,2011
2.0546207,6.669301,E06000039,2011
1.6241566,4.3361254,E06000045,2011
4.279351,7.852688,E06000037,2011
4.9465985,7.815691,E06000040,2011
4.6722307,7.703313,E06000041,2011
3.0177195,7.0278993,E07000004,2011
12.449245,9.48415,E07000005,2011
15.943941,8.909896,E07000006,2011
2.3340096,6.584105,E07000007,2011
10.811358,10.41899,E07000061,2011
11.365368,10.339772,E07000062,2011
11.284442,10.069781,E07000063,2011
12.311051,10.5493,E07000064,2011
4.508676,8.394043,E07000065,2011
3.1707761,7.171408,E07000084,2011
7.8177924,9.447691,E07000085,2011
6.386934,8.997538,E07000086,2011
8.246695,9.49863,E07000087,2011
13.524964,10.010965,E07000088,2011
12.275282,9.726024,E07000089,2011
6.644326,10.070864,E07000090,2011
3.465596,6.8136272,E07000091,2011
12.260404,8.85076,E07000092,2011
7.4861736,9.433415,E07000093,2011
7.5009274,9.324981,E07000094,2011
7.5589886,9.107568,E07000105,2011
3.9518394,8.962469,E07000106,2011
12.096889,8.939768,E07000107,2011
8.93145,10.355685,E07000108,2011
11.9828415,8.6466465,E07000109,2011
4.18954,7.828659,E07000110,2011
7.989746,9.462089,E07000111,2011
9.481942,10.30379,E07000112,2011
5.302396,9.358683,E07000113,2011
5.044795,9.546168,E07000114,2011
7.1241446,9.257081,E07000115,2011
7.778928,9.19906,E07000116,2011
4.88484,7.9439464,E07000177,2011
2.189447,6.663256,E07000178,2011
5.621101,8.6843815,E07000179,2011
7.158289,9.255424,E07000180,2011
8.667465,9.430744,E07000181,2011
5.334686,7.8789253,E07000207,2011
13.301046,9.15719,E07000208,2011
4.7873774,7.9994607,E07000209,2011
13.248845,9.957695,E07000210,2011
5.1178274,7.9112926,E07000211,2011
13.135208,9.208105,E07000212,2011
12.167798,8.867977,E07000213,2011
12.945464,9.413473,E07000214,2011
13.208855,9.838827,E07000215,2011
7.1691003,9.401743,E07000216,2011
12.150717,8.764597,E07000217,2011
15.937727,9.023223,E07000223,2011
