x,y,year,geography code,geography,Ethnic Total,Asian,Black,Mixed,White,Other,Economic Total,Economically active,Economically active: In employment,Economically active: Unemployed,Economically inactive
-7.547355,12.895692,2021,E06000050,Cheshire West and Chester,357149,7231,2107,5291,340361,2159,295358,177228,169088,8140,118130
-8.108396,12.721774,2021,E06000051,Shropshire,323607,4324,1117,3861,312876,1429,272245,158910,152422,6488,113335
-2.598765,6.2577133,2021,E06000052,Cornwall,570305,4032,1058,7030,552130,6055,477425,266622,254247,12375,210803
-12.622096,8.425605,2021,E06000053,Isles of Scilly,2055,6,4,23,2004,18,1729,1128,1113,15,601
-4.0778894,9.2136965,2021,E06000054,Wiltshire,510333,10876,5786,8709,481413,3549,419114,262075,252345,9730,157039
-11.141634,11.561816,2021,E06000055,Bedford,185224,23263,9848,8586,140174,3353,148118,95811,90865,4946,52307
-8.57707,12.380548,2021,E06000056,Central Bedfordshire,294251,10321,7018,8885,265545,2482,236760,157292,151077,6215,79468
-8.121497,12.594642,2021,E06000057,Northumberland,320566,3374,598,2557,313027,1010,268850,148602,140780,7822,120248
-6.65422,12.773911,2021,E06000058,"Bournemouth, Christchurch and Poole",400195,13551,4233,11093,365510,5808,334908,197215,186030,11185,137693
-6.8067265,12.194008,2021,E06000059,Dorset,379580,4305,1082,4436,368415,1342,321900,174681,167777,6904,147219
-3.3852248,7.6389203,2021,E06000060,Buckinghamshire,553078,68318,14269,19570,442164,8757,443394,285487,273235,12252,157907
-7.6018596,12.885371,2021,E06000061,North Northamptonshire,359523,12726,11017,8175,324664,2941,289187,186661,178857,7804,102526
-6.1781387,11.911039,2021,E06000062,West Northamptonshire,425723,22463,20661,12116,365758,4725,343503,226381,215996,10385,117122
-12.077698,11.302693,2021,E07000008,Cambridge,145674,21626,3561,7410,108570,4507,124765,74213,70598,3615,50552
-13.376284,10.588466,2021,E07000009,East Cambridgeshire,87763,1688,705,1883,82912,575,71429,46215,44695,1520,25214
-13.292732,10.914264,2021,E07000010,Fenland,102461,1232,814,1412,98280,723,84835,49392,47109,2283,35443
-11.513264,11.797132,2021,E07000011,Huntingdonshire,180832,5745,2646,4057,167116,1268,148261,94850,91391,3459,53411
-12.000267,11.559398,2021,E07000012,South Cambridgeshire,162117,9399,2019,4591,144285,1823,130361,85049,82267,2782,45312
-13.284793,10.729207,2021,E07000026,Allerdale,96153,540,84,627,94667,235,80510,46015,44235,1780,34495
-13.528506,10.222312,2021,E07000027,Barrow-in-Furness,67406,949,250,550,65412,245,55834,32692,31183,1509,23142
-13.141587,11.006486,2021,E07000028,Carlisle,110025,1628,337,973,106508,579,91343,55272,52950,2322,36071
-13.50758,10.198584,2021,E07000029,Copeland,67076,547,185,450,65714,180,56009,31946,30571,1375,24063
-13.45223,9.910103,2021,E07000030,Eden,54737,435,87,368,53699,148,46635,28183,27335,848,18452
-13.115999,10.850198,2021,E07000031,South Lakeland,104450,812,251,1034,102025,328,89703,51636,50137,1499,38067
-12.797885,11.183534,2021,E07000032,Amber Valley,126204,1208,381,1548,122767,300,105066,62625,60171,2454,42441
-13.45296,10.460305,2021,E07000033,Bolsover,80270,722,419,744,78143,242,66278,39653,38100,1553,26625
-13.264976,10.920376,2021,E07000034,Chesterfield,103568,1950,839,1498,98857,424,86004,49883,47532,2351,36121
-13.463499,10.277882,2021,E07000035,Derbyshire Dales,71535,518,169,723,69940,185,61061,34373,33229,1144,26688
-13.07607,11.046239,2021,E07000036,Erewash,112908,1788,871,2048,107769,432,93526,57478,54966,2512,36048
-13.347907,10.663945,2021,E07000037,High Peak,90935,694,223,1185,88614,219,75662,46481,44616,1865,29181
-13.218362,10.828696,2021,E07000038,North East Derbyshire,102003,952,324,1170,99367,190,85275,48471,46564,1907,36804
-13.190212,10.939864,2021,E07000039,South Derbyshire,107206,3841,855,1934,99836,740,86956,55907,53907,2000,31049
-12.217228,11.416636,2021,E07000040,East Devon,150823,1459,348,1720,146847,449,127388,69189,66727,2462,58199
-12.836139,11.444228,2021,E07000041,Exeter,130707,6375,1137,3308,118034,1853,111331,63256,59701,3555,48075
-13.400204,10.476335,2021,E07000042,Mid Devon,82853,562,101,899,81068,223,68203,41654,40279,1375,26549
-13.291296,10.800149,2021,E07000043,North Devon,98612,1135,325,1174,95639,339,82194,47138,45166,1972,35056
-13.3623905,10.603776,2021,E07000044,South Hams,88628,614,149,1048,86427,390,74968,42013,40585,1428,32955
-12.595793,11.269116,2021,E07000045,Teignbridge,134802,1004,216,1564,131668,350,113461,64536,62137,2399,48925
-13.498293,10.216912,2021,E07000046,Torridge,68114,356,75,630,66920,133,57560,31418,30054,1364,26142
-13.4762,9.958953,2021,E07000047,West Devon,57094,337,122,626,55847,162,48362,26317,25384,933,22045
-13.372795,10.984004,2021,E07000061,Eastbourne,101680,3544,1308,2802,92342,1684,84573,46757,43831,2926,37816
-13.485258,10.7915,2021,E07000062,Hastings,90995,2536,1262,2639,83191,1367,74702,43772,40897,2875,30930
-13.305812,10.8591175,2021,E07000063,Lewes,99909,1899,722,2461,94101,726,83221,46800,44506,2294,36421
-13.352009,10.710633,2021,E07000064,Rother,93114,1390,561,1702,88993,468,79489,39914,37934,1980,39575
-12.037749,11.581569,2021,E07000065,Wealden,160152,2250,646,2709,153809,738,133648,77504,74543,2961,56144
-11.498232,11.944704,2021,E07000066,Basildon,187567,7995,8913,4938,164116,1605,148662,93971,89010,4961,54691
-12.193485,11.573525,2021,E07000067,Braintree,155265,2566,1889,3014,146981,815,126567,79834,76282,3552,46733
-13.520787,10.446302,2021,E07000068,Brentwood,77048,3913,1747,2368,68194,826,62866,39506,37900,1606,23360
-13.424988,10.676536,2021,E07000069,Castle Point,89582,1550,1179,1446,84981,426,74405,42904,41002,1902,31501
-11.604556,11.900857,2021,E07000070,Chelmsford,181523,9646,4756,4724,160701,1696,147737,93844,89861,3983,53893
